algorithm,seed,f_final,f_ref,gap,rel_gap,iterations,time,sparsity
A1-Sub-NAG,42,19.00449694391028,19.004496943809194,1.0108536230291065e-10,5.319023313365824e-12,1407,0.03613424301147461,0.0
A1-Prox-NAG,42,19.004508601304774,19.004496943809194,1.1657495580408295e-05,6.134072169800727e-07,1408,0.037310123443603516,0.0
A1-Prox-2Phase,42,19.004496953993623,19.004496943809194,1.0184429299897602e-08,5.358957582518504e-10,3638,0.09625887870788574,0.0
A2-mu=1e-02,42,19.00450468158591,19.004496943809194,7.73777671625453e-06,4.0715504015354363e-07,4999,0.1360158920288086,0.0
A2-mu=1e-03,42,19.00450042666943,19.004496943809194,3.48286023665878e-06,1.8326505810475235e-07,4999,0.13486814498901367,0.0
A1-Sub-NAG,123,17.89619699956465,17.896196999468934,9.57172119342431e-11,5.348466600869642e-12,1391,0.035826921463012695,0.0
A1-Prox-NAG,123,17.89621009568832,17.896196999468934,1.309621938716532e-05,7.317878422747552e-07,1396,0.03702497482299805,0.0
A1-Prox-2Phase,123,17.896197009511084,17.896196999468934,1.0042150222488999e-08,5.611331962196772e-10,3873,0.10254406929016113,0.0
A2-mu=1e-02,123,17.896202867688196,17.896196999468934,5.8682192616288376e-06,3.279031439921552e-07,4999,0.13550591468811035,0.0
A2-mu=1e-03,123,17.896198636061722,17.896196999468934,1.6365927884010034e-06,9.144919383987385e-08,4999,0.13462495803833008,0.0
A1-Sub-NAG,456,18.862716739146283,18.862716739091134,5.5148774436020176e-11,2.9236920216126526e-12,1301,0.03357100486755371,0.0
A1-Prox-NAG,456,18.862729745891755,18.862716739091134,1.3006800621440107e-05,6.895507577911503e-07,1303,0.03461503982543945,0.0
A1-Prox-2Phase,456,18.86271674563088,18.862716739091134,6.539746522093992e-09,3.4670225994228113e-10,4098,0.1085810661315918,0.0
A2-mu=1e-02,456,18.862722608393025,18.862716739091134,5.8693018907263195e-06,3.1115888405209233e-07,4999,0.13542771339416504,0.0
A2-mu=1e-03,456,18.862718265470214,18.862716739091134,1.526379080019069e-06,8.092042631673506e-08,4999,0.1355907917022705,0.0
A1-Sub-NAG,789,18.09923248002976,18.099232479955592,7.416645075863926e-11,4.097767728039108e-12,1425,0.03643798828125,0.0
A1-Prox-NAG,789,18.099245744106238,18.099232479955592,1.3264150645397876e-05,7.328570788892602e-07,1426,0.03774309158325195,0.0
A1-Prox-2Phase,789,18.099232488157188,18.099232479955592,8.201595846912824e-09,4.5314605776769084e-10,4188,0.11074185371398926,0.0
A2-mu=1e-02,789,18.09923946695161,18.099232479955592,6.986996016422609e-06,3.8603824908932003e-07,4999,0.1349787712097168,0.0
A2-mu=1e-03,789,18.099234705722687,18.099232479955592,2.2257670941883134e-06,1.2297577240655315e-07,4999,0.13582587242126465,0.0
A1-Sub-NAG,1024,18.625088057626026,18.625088057536637,8.93898288722994e-11,4.7994312078502e-12,1348,0.0345149040222168,0.0
A1-Prox-NAG,1024,18.625101293466972,18.625088057536637,1.323593033575321e-05,7.106506178582761e-07,1349,0.03571510314941406,0.0
A1-Prox-2Phase,1024,18.625088066987036,18.625088057536637,9.450399574006951e-09,5.074016050186055e-10,3896,0.10283803939819336,0.0
A2-mu=1e-02,1024,18.625093157345432,18.625088057536637,5.099808795705485e-06,2.7381394278250666e-07,4999,0.1344897747039795,0.0
A2-mu=1e-03,1024,18.62508968791639,18.625088057536637,1.6303797529815256e-06,8.753675407842128e-08,4999,0.13512015342712402,0.0
