algorithm,rate_type,rate_value,R2,theory
A1-Sub-CM,linear,0.9786833858768178,0.999905650108898,rho* = (sqrt(kappa)-1)/(sqrt(kappa)+1)
A1-Sub-NAG,linear,0.9788930661885404,0.999905430677756,rho* = (sqrt(kappa)-1)/(sqrt(kappa)+1)
A1-Prox-CM,linear,0.9879812906359564,0.8404068670165838,rho* = (sqrt(kappa)-1)/(sqrt(kappa)+1)
A1-Prox-NAG,linear,0.9883042857390869,0.8351974171826615,rho* = (sqrt(kappa)-1)/(sqrt(kappa)+1)
A1-Prox-NAG-Sched,linear,0.9831784884229834,0.9891864826803342,rho* = (sqrt(kappa)-1)/(sqrt(kappa)+1)
A1-Prox-2Phase,linear,0.9974735865562562,0.9970763608631393,rho* = (sqrt(kappa)-1)/(sqrt(kappa)+1)
A1-Sub-NAG-Polyak,linear,0.9817987731301938,0.9999084389658122,rho* = (sqrt(kappa)-1)/(sqrt(kappa)+1)
A1-Prox-NAG-Polyak,linear,0.9895014876291985,0.8480187399179449,rho* = (sqrt(kappa)-1)/(sqrt(kappa)+1)
A2-mu=1e-01,polynomial,-5.78848991371255,0.9561135231687214,-2.0 (O(1/k^2))
A2-mu=1e-02,polynomial,-6.186901728082226,0.9547733441717303,-2.0 (O(1/k^2))
A2-mu=1e-03,polynomial,-6.6732527865831806,0.9462513384032586,-2.0 (O(1/k^2))
A2-mu=1e-04,polynomial,-6.845642268337736,0.9455308017891977,-2.0 (O(1/k^2))
A2-decr-mu0=1e-1,polynomial,-6.82447891543377,0.9460388279409221,-1.0 (O(1/k))
