algorithm,rate_type,rate_value,R2,theory
A1-Sub-CM,linear,0.9786833862301517,0.9999056498580097,rho* = (sqrt(kappa)-1)/(sqrt(kappa)+1)
A1-Sub-NAG,linear,0.9788930653692102,0.9999054315969526,rho* = (sqrt(kappa)-1)/(sqrt(kappa)+1)
A1-Prox-CM,linear,0.9879812906358175,0.8404068670382713,rho* = (sqrt(kappa)-1)/(sqrt(kappa)+1)
A1-Prox-NAG,linear,0.9883042857390564,0.8351974171955161,rho* = (sqrt(kappa)-1)/(sqrt(kappa)+1)
A1-Prox-NAG-Sched,linear,0.9831784884229245,0.9891864826810857,rho* = (sqrt(kappa)-1)/(sqrt(kappa)+1)
A1-Prox-2Phase,linear,0.9974735865137819,0.9970763623658994,rho* = (sqrt(kappa)-1)/(sqrt(kappa)+1)
A1-Sub-NAG-Polyak,linear,0.9817987734396245,0.9999084387314334,rho* = (sqrt(kappa)-1)/(sqrt(kappa)+1)
A1-Prox-NAG-Polyak,linear,0.9895014876291325,0.8480187399250873,rho* = (sqrt(kappa)-1)/(sqrt(kappa)+1)
A2-mu=1e-01,polynomial,-5.788489913766986,0.9561135231702375,-2.0 (O(1/k^2))
A2-mu=1e-02,polynomial,-6.1869017278184195,0.9547733441895154,-2.0 (O(1/k^2))
A2-mu=1e-03,polynomial,-6.673252786536349,0.946251338383354,-2.0 (O(1/k^2))
A2-mu=1e-04,polynomial,-6.845642268134375,0.9455308018029192,-2.0 (O(1/k^2))
A2-decr-mu0=1e-1,polynomial,-6.824478916185524,0.9460388279321494,-1.0 (O(1/k))
