algorithm,column,f_total,f_ref,gap,sparsity,time
A1-Sub-NAG,0,18.583217166581772,18.58321715798089,8.600881784559533e-09,0.0,0.02409195899963379
A1-Sub-NAG,1,17.847003154473555,17.847003148211627,6.261927865125472e-09,0.0,0.026387929916381836
A1-Sub-NAG,2,18.23000282589508,18.230002819932793,5.962288440741759e-09,0.0,0.024507999420166016
A1-Sub-NAG,3,18.564974840934518,18.564974835233198,5.701320304751789e-09,0.0,0.027399301528930664
A1-Sub-NAG,4,17.996893980715896,17.996893973728284,6.98761226658462e-09,0.0,0.026037931442260742
A1-Sub-NAG,5,19.04695515187645,19.0469551408465,1.102995028645637e-08,0.0,0.02599620819091797
A1-Sub-NAG,6,18.256963229654843,18.256963221275626,8.379217319998133e-09,0.0,0.027261018753051758
A1-Sub-NAG,7,18.792760341655537,18.792760336240008,5.41552935828804e-09,0.0,0.024773120880126953
A1-Sub-NAG,8,18.72774703488713,18.727747028042796,6.844334876632274e-09,0.0,0.027980804443359375
A1-Sub-NAG,9,19.062030597435303,19.06203059355422,3.881083898704674e-09,0.0,0.02446722984313965
A1-Sub-NAG,10,19.092098261681276,19.09209825158047,1.0100805525325995e-08,0.0,0.027244091033935547
A1-Sub-NAG,11,18.369698752610514,18.369698746959155,5.651358492286818e-09,0.0,0.026467084884643555
A1-Sub-NAG,12,18.59893596673142,18.598935960174245,6.557176135402187e-09,0.0,0.025774717330932617
A1-Sub-NAG,13,18.208461050600874,18.2084610431451,7.455774664322234e-09,0.0,0.025782108306884766
A1-Sub-NAG,14,18.952377001880784,18.952376995066675,6.8141083886530396e-09,0.0,0.025082111358642578
A1-Sub-NAG,15,17.21913867090201,17.21913866596245,4.939558095884422e-09,0.0,0.025216102600097656
A1-Sub-NAG,16,18.21808335024958,18.218083346149037,4.100542128071538e-09,0.0,0.02501201629638672
A1-Sub-NAG,17,19.22206434228688,19.22206433723902,5.047862572382655e-09,0.0,0.026790142059326172
A1-Sub-NAG,18,17.287173678386885,17.287173672727203,5.659682500436247e-09,0.0,0.025242090225219727
A1-Sub-NAG,19,17.828629793309062,17.828629786478647,6.830415344438734e-09,0.0,0.02522110939025879
A1-Sub-NAG,20,18.30025100609228,18.300250999418036,6.6742451565460215e-09,0.0,0.025728940963745117
A1-Sub-NAG,21,17.78932617088538,17.789326167675526,3.2098554925141798e-09,0.0,0.024978160858154297
A1-Sub-NAG,22,19.43152690495064,19.431526897523515,7.427125581216387e-09,0.0,0.02484583854675293
A1-Sub-NAG,23,18.65964619105259,18.659646185434703,5.617888376718838e-09,0.0,0.0260617733001709
A1-Sub-NAG,24,19.096721719252916,19.096721708413234,1.083968115267453e-08,0.0,0.024652719497680664
A1-Sub-NAG,25,18.490034625686913,18.49003462060811,5.078803155811329e-09,0.0,0.026427745819091797
A1-Sub-NAG,26,18.604306970413386,18.604306960917885,9.495501274159324e-09,0.0,0.026220083236694336
A1-Sub-NAG,27,19.9017109236664,19.901710917036024,6.630376248040193e-09,0.0,0.02525019645690918
A1-Sub-NAG,28,18.210284332568573,18.2102843249388,7.629772369455168e-09,0.0,0.025468826293945312
A1-Sub-NAG,29,17.55952995394139,17.5595299475718,6.369589300447842e-09,0.0,0.025724172592163086
A1-Sub-NAG,30,18.7188143503997,18.71881434269165,7.70804930994018e-09,0.0,0.025633811950683594
A1-Sub-NAG,31,17.52320732871581,17.5232073245982,4.117609364584496e-09,0.0,0.024163007736206055
A1-Sub-NAG,32,19.12743090557606,19.12743089883932,6.736737390156122e-09,0.0,0.02733588218688965
A1-Sub-NAG,33,17.090405802597814,17.09040579622989,6.367923077732485e-09,0.0,0.02636861801147461
A1-Sub-NAG,34,17.6836009871266,17.683600982576355,4.5502446255341056e-09,0.0,0.025767803192138672
A1-Sub-NAG,35,18.0725560034836,18.072555997113856,6.369745619849709e-09,0.0,0.026294231414794922
A1-Sub-NAG,36,17.81953593806366,17.819535929196753,8.866905432114436e-09,0.0,0.02631974220275879
A1-Sub-NAG,37,18.019926820503617,18.019926814918215,5.585402362839886e-09,0.0,0.025365829467773438
A1-Sub-NAG,38,18.454850740522915,18.4548507315106,9.012314450274062e-09,0.0,0.026520967483520508
A1-Sub-NAG,39,18.90911735841194,18.909117352733706,5.6782347712669434e-09,0.0,0.0261538028717041
A1-Sub-NAG,40,19.37745274919723,19.37745274315677,6.040458799816406e-09,0.0,0.025406837463378906
A1-Sub-NAG,41,18.691476145349064,18.691476138350758,6.998305934757809e-09,0.005,0.02718496322631836
A1-Sub-NAG,42,18.533723085552122,18.53372307969972,5.852403006656459e-09,0.0,0.025063037872314453
A1-Sub-NAG,43,17.9194797440206,17.9194797345055,9.515098042811587e-09,0.0,0.027379989624023438
A1-Sub-NAG,44,19.478660204247273,19.47866019558779,8.659483796691347e-09,0.0,0.02607583999633789
A1-Sub-NAG,45,18.838161396528143,18.83816139021186,6.316284384411119e-09,0.0,0.0251467227935791
A1-Sub-NAG,46,19.015631653129663,19.015631645333922,7.795740941674012e-09,0.0,0.026728153228759766
A1-Sub-NAG,47,18.343337019902062,18.34333701170385,8.198213663490606e-09,0.0,0.025828838348388672
A1-Sub-NAG,48,18.644598476515124,18.644598466999238,9.515886745248281e-09,0.0,0.026582956314086914
A1-Sub-NAG,49,19.22543184220068,19.225431833385578,8.815103313963846e-09,0.0,0.024558067321777344
A1-Prox-NAG,0,18.58323037937659,18.58321715798089,1.3221395700924177e-05,0.0,0.024884939193725586
A1-Prox-NAG,1,17.84701485959684,17.847003148211627,1.1711385212720415e-05,0.0,0.02722024917602539
A1-Prox-NAG,2,18.230014713516827,18.230002819932793,1.1893584034083915e-05,0.0,0.02553701400756836
A1-Prox-NAG,3,18.564987705516238,18.564974835233198,1.2870283040200547e-05,0.0,0.027752161026000977
A1-Prox-NAG,4,17.996906665387264,17.996893973728284,1.2691658980656939e-05,0.0,0.02701592445373535
A1-Prox-NAG,5,19.046967726077078,19.0469551408465,1.2585230578565643e-05,0.0,0.026603221893310547
A1-Prox-NAG,6,18.256974916915194,18.256963221275626,1.1695639567932403e-05,0.0,0.02826380729675293
